name,zozo_url,official_url
BREE,http://zozo.jp/men-shop/bree/,http://www.breejapan.com/
BRIEFING,http://zozo.jp/men-shop/briefing/,""
BRITISH MADE,http://zozo.jp/men-shop/britishmade/,""
BROOKS BROTHERS,http://zozo.jp/men-shop/brooksbrothers/,""
BROS,http://zozo.jp/men-shop/bros/,""
Bshop,http://zozo.jp/men-shop/bshop/,http://www.bshop-inc.com
BUFFALO BOBS,http://zozo.jp/men-shop/buffalobobs/,""
BURNER,http://zozo.jp/men-shop/burner/,""
BURTON by H.L.N.A,http://zozo.jp/men-shop/burtonbyhlna/,""
BUTTERO,http://zozo.jp/men-shop/buttero/,http://www.buttero.jp/
Bó YOSHIDA(BEAMS×PORTER),http://zozo.jp/men-shop/bjirushiyoshida/,http://shop.beams.co.jp/cc/?ccid=11736
C.E.L.STORE,http://zozo.jp/men-shop/celstore/,http://www.celstore.jp/
CABANE de ZUCCa,http://zozo.jp/men-shop/cabanedezucca/,http://www.zucca.cc/index.html
Calvin Klein,http://zozo.jp/men-shop/calvinklein/,""
CAMBIO,http://zozo.jp/men-shop/cambio/,""
CAMPER,http://zozo.jp/men-shop/camper/,""
canal4,http://zozo.jp/men-shop/canal4c/,""
Carhartt WIP,http://zozo.jp/men-shop/carharttwip/,""
CASPER JOHN AIVER,http://zozo.jp/men-shop/casperjohnaiver/,""
Champion/Hanes,http://zozo.jp/men-shop/champion-hanes/,""
CHAPTER WORLD,http://zozo.jp/men-shop/chapterworld/,""
CHARI&CO,http://zozo.jp/men-shop/chariandco/,http://www.chariandco.jp
CHRISTIAN DADA,http://zozo.jp/men-shop/christiandada/,""
Ciaopanic,http://zozo.jp/men-shop/ciaopanic/,http://ciaopanic.com/
CIAOPANIC TYPY,http://zozo.jp/men-shop/ciaopanictypy/,http://www.ciaopanic-typy.com/
CIBONE,http://zozo.jp/men-shop/cibone/,""
CITYSHOP,http://zozo.jp/men-shop/cityshop/,""
CLANE,http://zozo.jp/men-shop/clane/,""
Clarks,http://zozo.jp/men-shop/clarks/,http://www.clarks.co.jp/
CLEDRAN,http://zozo.jp/men-shop/cledran/,""
CMB by CAMBIO,http://zozo.jp/men-shop/cmbbycambio/,""
COACH,http://zozo.jp/men-shop/coach/,""
Cocoonist,http://zozo.jp/men-shop/cocoonist/,http://www.cocoonist.net/
coen,http://zozo.jp/men-shop/coen/,http://www.coen.co.jp/
COLE HAAN,http://zozo.jp/men-shop/colehaan/,""
Coleman,http://zozo.jp/men-shop/coleman/,""
COLLARS,http://zozo.jp/men-shop/collars/,http://www.collars.jp/
COLONY 2139,http://zozo.jp/men-shop/colony2139/,""
Columbia,http://zozo.jp/men-shop/columbia/,""
COMME CA ISM,http://zozo.jp/men-shop/commecaism/,""
COMME des GARCONS POCKET,http://zozo.jp/men-shop/commedesgarconspocket/,""
con affetto,http://zozo.jp/men-shop/loreerodkin/,http://www.conaffetto-ginza.com
CONVERSE,http://zozo.jp/men-shop/converse/,""
COULEURVARIE,http://zozo.jp/men-shop/couleurvarie/,http://www.bath.co.jp/
Creed,http://zozo.jp/men-shop/creed/,http://www.creed-e.com/
CROON A SONG,http://zozo.jp/men-shop/croonasong/,http://www.croon-a-song.com/
CustomCulture + 291295 HOMME,http://zozo.jp/men-shop/cc-29homme/,""
daboro,http://zozo.jp/men-shop/daboro/,http://daboro.jp/
DC SHOES,http://zozo.jp/men-shop/dcshoes/,""
DECADE,http://zozo.jp/men-shop/decade/,http://www.decade.jpn.com/
DELUXE,http://zozo.jp/men-shop/deluxe/,http://www.deluxe.jp/
DENIM & SUPPLY RALPH LAUREN,http://zozo.jp/men-shop/denimandsupplyralphlauren/,""
Denime,http://zozo.jp/men-shop/denime/,http://www.denime.jp/
DESCENTE BLANC,http://zozo.jp/men-shop/descente/,http://www.descenteblanc.com/
Design Tshirts Store graniph,http://zozo.jp/men-shop/graniph/,""
Desigual,http://zozo.jp/men-shop/desigual/,""
DEVICE,http://zozo.jp/men-shop/device/,""
Dickies,http://zozo.jp/men-shop/dickies/,""
DIESEL,http://zozo.jp/men-shop/diesel/,http://www.diesel.co.jp/
Discoat Parisien,http://zozo.jp/men-shop/discoat/,http://discoat.jp/
Divinique,http://zozo.jp/men-shop/divinique/,""
DOUBLE STEAL,http://zozo.jp/men-shop/doublesteal/,""
DOWBL,http://zozo.jp/men-shop/dowbl/,""
DRESSTERIOR,http://zozo.jp/men-shop/dressterior/,""
Drifter STORE,http://zozo.jp/men-shop/drifterstore/,http://drifter.co.jp/
Dsquared2,http://zozo.jp/men-shop/dsquared2/,""
e.m.,http://zozo.jp/men-shop/em/,http://www.em-grp.com/
ECHELLE Liberte,http://zozo.jp/men-shop/echelleliberte/,""
EDIFICE,http://zozo.jp/men-shop/edifice/,http://edifice.baycrews.co.jp/
EDITION,http://zozo.jp/men-shop/edition/,http://www.edition-jp.com/
EDWIN SHOP,http://zozo.jp/men-shop/edwinshop/,http://www.edwin.co.jp/
EMC RETAIL STORE,http://zozo.jp/men-shop/emcretailstore/,http://www.earth-m.co.jp/
emmi,http://zozo.jp/men-shop/emmi/,http://emmi.jp/#shop_anchor
EMU Australia,http://zozo.jp/men-shop/emuaustralia/,http://www.stokecompany.com/pc/
EN ROUTE,http://zozo.jp/men-shop/enroute/,http://enroute.tokyo/
ENtER,http://zozo.jp/men-shop/enter/,""
entre square,http://zozo.jp/men-shop/entresquare/,""
EPOCA UOMO,http://zozo.jp/men-shop/epocauomobiancaepoca/,http://www.epocainfo.com/
ESTNATION,http://zozo.jp/men-shop/estnation/,https://www.estnation.co.jp/
ete,http://zozo.jp/men-shop/ete/,http://www.eteweb.com/
everyday by collex/MYSELF ABAHOUSE,http://zozo.jp/men-shop/myselfabahouse/,""
eYe COMME des GARCONS JUNYA WATANABE MAN,http://zozo.jp/men-shop/junyawatanabeman/,""
FACETASM,http://zozo.jp/men-shop/facetasm/,""
FACTOTUMiVALLIS/DENIMj,http://zozo.jp/men-shop/factotum/,""
FAR EAST,http://zozo.jp/men-shop/fareast/,""
FAT,http://zozo.jp/men-shop/fat/,""
Felisi,http://zozo.jp/men-shop/felisi/,""
FJALLRAVEN by 3NITY,http://zozo.jp/men-shop/fjallravenby3nity/,http://www.fjallraven.jp/
FLASH REPORT,http://zozo.jp/men-shop/flashreport/,http://flashreport.co.jp/
FOSSIL,http://zozo.jp/men-shop/fossil/,""
franche lippee,http://zozo.jp/men-shop/franchelippee/,""
FRANKLIN & MARSHALL,http://zozo.jp/men-shop/franklinmarshall/,""
FRAPBOIS,http://zozo.jp/men-shop/frapbois/,""
FREAK'S STORE,http://zozo.jp/men-shop/freaksstore/,http://www.freaksstore.com/
FRED PERRY,http://zozo.jp/men-shop/fredperry/,""
FREDY&GLOSTER,http://zozo.jp/men-shop/fredyandgloster/,http://fredyandgloster.jp/
FREE'S MART/FREE'S MART MEN,http://zozo.jp/men-shop/freesmart/,http://www.frees-mart.com/
fridge setagaya o£,http://zozo.jp/men-shop/fridgesetagayashuchojo/,http://central.fridgesetagaya.com/
Fun & Daily,http://zozo.jp/men-shop/funanddaily/,""
GALLERIANT,http://zozo.jp/men-shop/galleriant/,""
GANRYU,http://zozo.jp/men-shop/ganryu/,""
GANT RUGGER,http://zozo.jp/men-shop/gantrugger/,""
GARDEN,http://zozo.jp/men-shop/garden/,http://www.gardenxxx.com/
GARDENS L.E.D.,http://zozo.jp/men-shop/ledbites/,http://www.ledbites.com/
GAS,http://zozo.jp/men-shop/gas/,""
GDC,http://zozo.jp/men-shop/gdc/,""
gelato pique,http://zozo.jp/men-shop/gelatopique/,http://gelatopique.com/
GEORGE'S,http://zozo.jp/men-shop/georges/,http://www.georges.co.jp/shop/
GGD,http://zozo.jp/men-shop/ggd/,http://ggd.tokyo/
GIORDANO,http://zozo.jp/men-shop/giordano/,http://giordano.co.jp/
giraffe,http://zozo.jp/men-shop/giraffe/,http://giraffe-tie.com
Gizmobiesplayland,http://zozo.jp/men-shop/gizmobiesplayland/,http://gizmobies.co.jp/
glamb,http://zozo.jp/men-shop/glamb/,http://www.glamb.com/
Global Forme Concrete,http://zozo.jp/men-shop/globalformeconcrete/,http://www.gfconcrete.com/
GLOBAL SHOES GALLERY,http://zozo.jp/men-shop/globalshoesgallery/,""
GLOBAL WORK,http://zozo.jp/men-shop/globalwork/,""
go slow caravan,http://zozo.jp/men-shop/goslowcaravan/,""
goa THE STORE,http://zozo.jp/men-shop/goathestore/,""
gomme,http://zozo.jp/men-shop/gomme/,""
grapevine by k3,http://zozo.jp/men-shop/grapevinebyk3/,http://www.k3coltd.jp/
green label relaxing,http://zozo.jp/men-shop/greenlabel/,http://www.green-label-relaxing.jp/
GREGORY STORE,http://zozo.jp/men-shop/gregorystore/,""
grn,http://zozo.jp/men-shop/grn/,http://grn-sui.com/
G-STAR RAW,http://zozo.jp/men-shop/gstarraw/,""
GUESS,http://zozo.jp/men-shop/guess/,""
GUILD PRIME,http://zozo.jp/men-shop/guildprime/,""
gym master,http://zozo.jp/men-shop/gymmaster/,""
H.L.N.A,http://zozo.jp/men-shop/hlna/,http://hlna.jp/
H.P.FRANCE,http://zozo.jp/men-shop/hpfrance/,""
HARE,http://zozo.jp/men-shop/hare/,""
HARUTA,http://zozo.jp/men-shop/haruta/,""
HEAD PORTER,http://zozo.jp/men-shop/headporter/,""
HELIOPOLE,http://zozo.jp/men-shop/heliopole/,http://heliopole.co.jp
HERRINGBONE CLUB,http://zozo.jp/men-shop/herringboneclub/,""
HIGHTIDE,http://zozo.jp/men-shop/hightide/,http://hightide.co.jp/
honeyee.com,http://zozo.jp/men-shop/honeyeecom/,""
HUMAN WOMAN,http://zozo.jp/men-shop/humanwoman/,""
Hurley,http://zozo.jp/men-shop/hurley/,""
HYSTERIC GLAMOUR,http://zozo.jp/men-shop/hystericglamour/,http://www.hystericglamour.jp/
I am I ONEROOM,http://zozo.jp/men-shop/iamioneroom/,""
IDEA SEVENTH SENSE,http://zozo.jp/men-shop/ideaseventhsense/,http://idea-onlineshop.jp/?pg=shoplist
ikka LOUNGE,http://zozo.jp/men-shop/ikkalounge/,http://www.cox-online.co.jp/brand/ikka/
IL BISONTE,http://zozo.jp/men-shop/ilbisonte/,http://www.ilbisonte.jp/
improves,http://zozo.jp/men-shop/improves/,""
Incase,http://zozo.jp/men-shop/incase/,http://www.incasejapan.com/
INTER-CHAUSSURES,http://zozo.jp/men-shop/interchaussures/,http://www.harmony-products.com/
ivory court,http://zozo.jp/men-shop/ivorycourt/,""
J.FERRY,http://zozo.jp/men-shop/jferry/,""
J.PRESS,http://zozo.jp/men-shop/jpress/,""
JACK SPADE,http://zozo.jp/men-shop/jackspade/,""
JACKROSE,http://zozo.jp/men-shop/jackrose/,""
JAM HOME MADE,http://zozo.jp/men-shop/jamhomemade/,http://jamhomemade.com/
JAMA RICO,http://zozo.jp/men-shop/jamarico/,http://jama-rico.com/
JEANS MATE,http://zozo.jp/men-shop/jeansmate/,""
Jewel Addict,http://zozo.jp/men-shop/jupiter/,""
Johnbull Private labo,http://zozo.jp/men-shop/johnbullprivatelabo/,http://www.johnbull.co.jp/
JOSEPH,http://zozo.jp/men-shop/joseph/,""
JOURNAL STANDARD,http://zozo.jp/men-shop/journalstandard/,http://journal-standard.jp/
JOYRICH,http://zozo.jp/men-shop/joyrich/,""
JS TRUNK & Co,http://zozo.jp/men-shop/samsonite/,""
JUGLANS,http://zozo.jp/men-shop/juglans/,""
JUNRed,http://zozo.jp/men-shop/junred/,http://www.junred.jp/
KESWISS,http://zozo.jp/men-shop/kswiss/,""
KATHARINE HAMNETT LONDON,http://zozo.jp/men-shop/katharinehamnett/,""
KEEN,http://zozo.jp/men-shop/keen/,""
KENZO,http://zozo.jp/men-shop/kenzo/,""
ketty online store,http://zozo.jp/men-shop/kettyonlinestore/,""
KMC DETAILS,http://zozo.jp/men-shop/kmcdetails/,http://www.kmc-details.com/index.html
KOE,http://zozo.jp/men-shop/koe/,""
L&HARMONY,http://zozo.jp/men-shop/landharmony/,http://landharmony.com/
L.H.P,http://zozo.jp/men-shop/lhp/,""
L.H.P PRIVATE LAB,http://zozo.jp/men-shop/lhpprivatelab/,""
LACOSTE,http://zozo.jp/men-shop/lacoste/,""
LANVIN en Bleu MEN,http://zozo.jp/men-shop/lanvinmen/,http://www.lanvin-en-bleu.com/?fromec
LB/S,http://zozo.jp/men-shop/lb-s/,""
Lbc with Life,http://zozo.jp/men-shop/lbc/,http://www.cox-online.co.jp/brand/lbc/
LE JUN,http://zozo.jp/men-shop/lejun/,http://www.lejun.jp/
LE TiROiR de DRESSTERIOR,http://zozo.jp/men-shop/letiroirdedressterior/,http://www.world.co.jp/letiroirde-dressterior/
Lee SHOP,http://zozo.jp/men-shop/leeshop/,http://lee-japan.jp/
Levi's,http://zozo.jp/men-shop/levisstore/,""
light & will & today,http://zozo.jp/men-shop/lightandwillandtoday/,http://www.lightandwill.com/
LION HEART,http://zozo.jp/men-shop/lionheart/,http://www.lion-heart.co.jp/
LITHIUM HOMME/FEMME,http://zozo.jp/men-shop/lithiumhomme/,http://www.lithium-homme.com/
L'OCCITANE,http://zozo.jp/men-shop/loccitane/,""
Lui's,http://zozo.jp/men-shop/luis/,http://luis-net.jp/
LUMP,http://zozo.jp/men-shop/lump/,http://www.whiz.jp/
LuuNa & GreG the Store,http://zozo.jp/men-shop/luuna/,http://www.beaure.net/company/
